,X,Y,Z
0,0.0,0.0,-2.5892056749104800
1,0.0,1.0,1.9475559545372400
2,0.0,2.0,0.2279784887825170
3,0.0,3.0,1.6899365462841700
4,0.0,4.0,-0.4122711121780960
5,0.0,5.0,-0.6903422286740310
6,0.0,6.0,0.9111465106112420
7,0.0,7.0,-0.1456304692343700
8,0.0,8.0,-0.5803439125422020
9,0.0,9.0,-1.8291066245000300
10,0.0,10.0,-0.6977469856425160
11,1.0,0.0,-1.9898161665045500
12,1.0,1.0,-0.1591589212197870
13,1.0,2.0,0.39793696454864900
14,1.0,3.0,-1.7678275474650100
15,1.0,4.0,-1.4145948895189100
16,1.0,5.0,-2.60463083226245
17,1.0,6.0,1.6255028298855600
18,1.0,7.0,0.7204186052901510
19,1.0,8.0,1.4214846741462600
20,1.0,9.0,-0.4503738509517280
21,1.0,10.0,-0.11057728667353700
22,2.0,0.0,-0.5769118312268660
23,2.0,1.0,-0.29388119231167
24,2.0,2.0,-0.35622939291310400
25,2.0,3.0,1.104487593435090
26,2.0,4.0,-1.3675098785890000
27,2.0,5.0,0.024705669862418500
28,2.0,6.0,0.6513029007922450
29,2.0,7.0,0.41862666758912300
30,2.0,8.0,-1.7182882696797400
31,2.0,9.0,-0.1507471816233920
32,2.0,10.0,0.3895064633037570
33,3.0,0.0,-0.22688341639879100
34,3.0,1.0,-0.44040953430312300
35,3.0,2.0,0.12333215599262200
36,3.0,3.0,0.03471663382370140
37,3.0,4.0,0.36587322855736100
38,3.0,5.0,-1.5485046085013100
39,3.0,6.0,0.4334031463180750
40,3.0,7.0,-0.49592501245579900
41,3.0,8.0,1.5831196443311900
42,3.0,9.0,1.3597715967894800
43,3.0,10.0,-0.2330091327419660
44,4.0,0.0,0.4607900376197900
45,4.0,1.0,-0.777387223857222
46,4.0,2.0,0.7072180523121830
47,4.0,3.0,-0.778874445254966
48,4.0,4.0,0.29910919415102300
49,4.0,5.0,0.6806607048104750
50,4.0,6.0,-0.1825070845569430
51,4.0,7.0,-1.3212001701556600
52,4.0,8.0,0.8343904622829600
53,4.0,9.0,0.7094177313083390
54,4.0,10.0,-0.6799541333745680
55,5.0,0.0,-0.027080540814127400
56,5.0,1.0,-0.3525537463216
57,5.0,2.0,-0.14050432247219900
58,5.0,3.0,-1.5587686411548700
59,5.0,4.0,-1.2290530450803300
60,5.0,5.0,-0.7668520048808240
61,5.0,6.0,-0.10978825701042600
62,5.0,7.0,-0.6013478667591540
63,5.0,8.0,-1.7103150160345700
64,5.0,9.0,-1.1209146129026600
65,5.0,10.0,1.4105155537263400
66,6.0,0.0,0.8977853371005670
67,6.0,1.0,-0.14020330174327100
68,6.0,2.0,-0.10098231028224200
69,6.0,3.0,-1.2096574613504400
70,6.0,4.0,-1.4071833663451000
71,6.0,5.0,-0.005050779631859400
72,6.0,6.0,0.4128895627008700
73,6.0,7.0,0.30744422097386600
74,6.0,8.0,-1.5163279058981800
75,6.0,9.0,-1.1729211824710000
76,6.0,10.0,-1.4018693642878400
77,7.0,0.0,-1.1838917495685300
78,7.0,1.0,-1.6205650816466500
79,7.0,2.0,0.07545832390274260
80,7.0,3.0,1.0044475408438800
81,7.0,4.0,1.1396310420032300
82,7.0,5.0,-0.09194777114891680
83,7.0,6.0,0.4181326796209420
84,7.0,7.0,0.4713080370193160
85,7.0,8.0,0.6272820661783160
86,7.0,9.0,-0.487393487460217
87,7.0,10.0,0.7711658690440340
88,8.0,0.0,1.3791833130489300
89,8.0,1.0,-0.7324612423195610
90,8.0,2.0,-0.7912779185671230
91,8.0,3.0,-1.1224613853762900
92,8.0,4.0,0.0005655054007980960
93,8.0,5.0,1.5898350078159800
94,8.0,6.0,-1.6378350657897600
95,8.0,7.0,-0.3969664943068170
96,8.0,8.0,1.0959791545628800
97,8.0,9.0,0.8159027575922560
98,8.0,10.0,-0.21358637970719200
99,9.0,0.0,2.050025004457600
100,9.0,1.0,0.25002171286120500
101,9.0,2.0,-0.5091147347838060
102,9.0,3.0,-0.04621954496009020
103,9.0,4.0,1.3546430886851400
104,9.0,5.0,-0.2227172841567900
105,9.0,6.0,-0.6726687297865610
106,9.0,7.0,1.213286440859480
107,9.0,8.0,0.01957210819569800
108,9.0,9.0,0.5332381394544810
109,9.0,10.0,1.361486361785410
110,10.0,0.0,0.8310838906583550
111,10.0,1.0,-2.478021379024100
112,10.0,2.0,0.498784839522526
113,10.0,3.0,0.23481719474448500
114,10.0,4.0,0.7081472847351190
115,10.0,5.0,1.348501183593360
116,10.0,6.0,0.7787947974217950
117,10.0,7.0,-0.7556040014052440
118,10.0,8.0,-0.9611400051588970
119,10.0,9.0,-1.105581275346920
120,10.0,10.0,2.6805000065701300
121,11.0,0.0,-1.2219133492400800
122,11.0,1.0,-0.48428129229727400
123,11.0,2.0,-0.07882264197783000
124,11.0,3.0,-1.2365774233806900
125,11.0,4.0,-0.8093699141648580
126,11.0,5.0,0.06653957986135810
127,11.0,6.0,1.5024057704719200
128,11.0,7.0,0.37582684433837800
129,11.0,8.0,-0.3901319688413220
130,11.0,9.0,1.210500633683380
131,11.0,10.0,0.41169376140813700
132,12.0,0.0,0.4235704418612240
133,12.0,1.0,0.5874281315543260
134,12.0,2.0,0.5019918713690650
135,12.0,3.0,0.4127127569929030
136,12.0,4.0,-1.4926319726779900
137,12.0,5.0,-1.0112604675358200
138,12.0,6.0,1.0793432856834200
139,12.0,7.0,-0.09885684692323020
140,12.0,8.0,0.8037561348491980
141,12.0,9.0,0.16874578417384400
142,12.0,10.0,-2.949313252584760
143,13.0,0.0,-0.6544712029627200
144,13.0,1.0,-0.12338619797499500
145,13.0,2.0,-0.49742167084786900
146,13.0,3.0,-0.266366577940331
147,13.0,4.0,0.6250834501885620
148,13.0,5.0,2.3400052344513100
149,13.0,6.0,-1.2434874118844000
150,13.0,7.0,0.08523346157115910
151,13.0,8.0,0.06374481209230250
152,13.0,9.0,-0.5485606514935800
153,13.0,10.0,-1.1520505786890600
154,14.0,0.0,-0.2659974048689330
155,14.0,1.0,1.3966831844865700
156,14.0,2.0,-0.0768509742312296
157,14.0,3.0,-0.08726007072040400
158,14.0,4.0,0.1986252348915770
159,14.0,5.0,-0.9091943791258440
160,14.0,6.0,-0.6662037355676170
161,14.0,7.0,-0.13994990045192700
162,14.0,8.0,-0.1344629519078330
163,14.0,9.0,-0.6388179986489440
164,14.0,10.0,1.5858466978845800
165,15.0,0.0,-0.6350188327131090
166,15.0,1.0,1.4809887264802000
167,15.0,2.0,0.16348058783812200
